#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-03-24T00:15:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56f32fff0810	
#INFO	-out.max=9999	
#INFO	queryParameters=49	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43&HTTPPRM:&&-ref=VIZ56f32fff0810&-file=.&-oc.form=sexa&-out.form=verb&-c.r=  2&-c.geom=r&-order=I&-out=Seq&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=plx&-out=rc&-out=RV&-out=Vpar&-out=Vperp&-out=M&-out=gmed&-out=rmed&-out=imed&-out=zmed&-out=ymed&-out=Jmag&-out=Kmag&-out=W1mag&-out=W2mag&-out=Src&-out=XV&-ignore=XV=*&XV=XV&-out=Sloan&Sloan=Sloan&-meta.ucd=2&-meta=1&-meta.foot=1&-meta.form=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/559/A43/table6
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=plx
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#-out=M
#-out=gmed
#-out=rmed
#-out=gmag
#-out=e_gmag
#-out=rmag
#-out=e_rmag
#-out=imag
#-out=e_imag
#-out=zmag
#-out=e_zmag
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=W1mag
#-out=e_W1mag
#-out=W2mag
#-out=e_W2mag
#-out=W3mag
#-out=e_W3mag
#-out=W4mag
#-out=e_W4mag
#-out=Src
#-out=XV
#XV=XV
#-out=Sloan
#Sloan=Sloan
#
#
#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#Column	Seq	(I8)	Identifier (Seq<=724 ix from Roeser et al. 2011, J/A+A/531/A92)	[ucd=meta.id]
#Column	RAJ2000	(F11.7)	PPMXL Right Ascension (J2000.0, epoch 2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	PPMXL Declination (J2000.0, epoch 2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F6.2)	PPMXL Proper Motion in RA*cos(DEdeg)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	PPMXL Proper Motion in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax]
#Column	rc	(F5.2)	[0/30] Distance from the cluster centre	[ucd=phys.size.radius]
#Column	RV	(F5.2)	[16/46] Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	[5/43] Tangential velocity in direction of the convergent point	[ucd=phys.veloc.transverse]
#Column	Vperp	(F5.2)	[-5/4] Tangential velocity in direction perpendicular to the convergent point	[ucd=phys.veloc.transverse]
#Column	M	(F5.2)	[0.09/2.6] Mass of the star	[ucd=phys.mass]
#Column	gmed	(F6.3)	? PS1 PSF median magnitude in g band	[ucd=phot.mag;em.opt.B]
#Column	rmed	(F6.3)	? PS1 PSF median magnitude in r band	[ucd=phot.mag;em.opt.R]
#Column	gmag	(F6.3)	? SDSS g-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.B]
#Column	e_gmag	(F6.3)	? Error of gmag	[ucd=stat.error;phot.mag;em.opt.B]
#Column	rmag	(F6.3)	? SDSS r-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.R]
#Column	e_rmag	(F6.3)	? Error of rmag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	imag	(F6.3)	? SDSS i-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.I]
#Column	e_imag	(F6.3)	? Error of imag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? SDSS z-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.I]
#Column	e_zmag	(F6.3)	? Error of zmag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	Jmag	(F6.3)	2MASS J band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	Error of Jmag	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS H band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	Error of Hmag	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	2MASS Ks band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F6.3)	Error of Kmag	[ucd=stat.error;phot.mag;em.IR.K]
#Column	W1mag	(F6.3)	? WISE W1-band magnitude (3.3um)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_W1mag	(F6.3)	? Error of W1mag	[ucd=stat.error;phot.mag]
#Column	W2mag	(F6.3)	? WISE W2-band magnitude (4.6um)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_W2mag	(F6.3)	? Error of W2mag	[ucd=stat.error;phot.mag]
#Column	W3mag	(F6.3)	? WISE W3-band magnitude (11.6um)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	e_W3mag	(F6.3)	? Error of W3mag	[ucd=stat.error;phot.mag]
#Column	W4mag	(F6.3)	? WISE W4-band magnitude (22.1um)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_W4mag	(F6.3)	? Error of W4mag	[ucd=stat.error;phot.mag]
#Column	Src	(A1)	[0,1] Origin of source: 1=from this paper, 0=from Roeser et al. 2011 (J/A+A/531/A92)	[ucd=meta.ref;pos.frame]
#Column	XV	(A2)	Retrieve data on this star across all VizieR (within 5arcsec)	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this source	[ucd=meta.ref.url]
#Seq	RAJ2000	DEJ2000	pmRA	pmDE	plx	rc	RV	Vpar	Vperp	M	gmed	rmed	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	W1mag	e_W1mag	W2mag	e_W2mag	W3mag	e_W3mag	W4mag	e_W4mag	Src	XV	Sloan
# 	deg	deg	mas/yr	mas/yr	mas	pc	km/s	km/s	km/s	Msun	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	 	 	
#--------	-----------	-----------	------	-------	-----	-----	-----	-----	-----	-----	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	-	--	-----
#Seq	RAJ2000	DEJ2000	pmRA	pmDE	plx	rc	RV	Vpar	Vperp	M	gmed	rmed	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	W1mag	e_W1mag	W2mag	e_W2mag	W3mag	e_W3mag	W4mag	e_W4mag	Src	XV	Sloan
     588	073.0994186	+10.7194158	 67.54	  -7.03	16.92	14.88	41.21	19.02	 0.54	 0.65	13.754	17.639	      	      	      	      	      	      	      	      	 9.633	 0.021	 8.973	 0.023	 8.772	 0.022	 8.653	 0.023	 8.647	 0.020	 8.555	 0.024	 8.620	 0.345	0	XV	Sloan
     590	073.1981722	+22.6472589	 76.45	 -43.38	19.15	 9.20	39.83	21.76	 0.28	 0.70	      	      	      	      	      	      	      	      	      	      	 9.073	 0.020	 8.462	 0.024	 8.293	 0.017	 8.223	 0.022	 8.279	 0.020	 8.228	 0.023	 8.536	 0.408	0	XV	Sloan
     591	073.4125481	+13.1387336	 54.84	 -21.04	14.42	24.04	41.17	19.11	-2.72	 0.92	      	      	      	      	      	      	      	      	      	      	 8.519	 0.029	 8.187	 0.023	 8.090	 0.018	 7.939	 0.023	 7.975	 0.019	 7.960	 0.020	 7.864	 0.175	0	XV	Sloan
     592	073.4875006	+09.2663328	 91.36	  -3.29	23.23	 8.23	41.39	18.64	 0.81	 0.25	16.567	15.378	      	      	      	      	      	      	      	      	11.308	 0.023	10.742	 0.029	10.445	 0.026	10.268	 0.023	10.083	 0.021	 9.965	 0.063	 8.873	      	0	XV	Sloan
     593	073.6330811	-11.9140322	110.09	  89.34	29.27	23.54	39.17	22.93	 1.09	 0.81	      	      	      	      	      	      	      	      	      	      	 7.607	 0.023	 7.097	 0.038	 6.956	 0.021	 6.872	 0.037	 6.977	 0.021	 6.963	 0.016	 6.827	 0.067	0	XV	Sloan
     594	073.6574603	+09.4090808	 75.75	  -8.76	19.51	 9.60	41.44	18.52	-0.54	 0.27	16.776	15.536	      	      	      	      	      	      	      	      	11.541	 0.026	11.026	 0.034	10.720	 0.022	10.484	 0.023	10.307	 0.021	10.203	 0.067	 8.819	      	0	XV	Sloan
     595	073.6837911	+19.6808994	 88.12	 -41.30	22.51	 5.79	40.50	20.50	 0.28	 0.46	14.553	      	      	      	      	      	      	      	      	      	10.163	 0.021	 9.491	 0.022	 9.277	 0.017	 9.148	 0.023	 9.054	 0.022	 9.019	 0.040	 8.361	      	0	XV	Sloan
     596	073.7431733	+19.4853869	 62.88	 -28.76	16.06	17.18	40.55	20.40	 0.37	 1.72	      	      	      	      	      	      	      	      	      	      	 5.736	 0.026	 5.658	 0.017	 5.623	 0.018	 5.594	 0.062	 5.455	 0.029	 5.640	 0.015	 5.573	 0.039	0	XV	Sloan
     597	073.8118825	+21.3640000	 61.07	 -41.05	16.57	15.77	40.26	20.97	-1.81	 0.24	17.332	16.087	      	      	      	      	      	      	      	      	12.169	 0.021	11.552	 0.022	11.263	 0.018	11.093	 0.026	10.918	 0.022	11.158	 0.172	 9.019	      	0	XV	Sloan
     598	073.9274708	+27.4773419	 75.68	 -43.84	17.65	15.19	38.98	23.26	 3.34	 0.15	18.167	16.930	      	      	      	      	      	      	      	      	12.896	 0.022	12.332	 0.018	12.028	 0.023	11.819	 0.023	11.656	 0.024	11.818	 0.273	 8.972	      	0	XV	Sloan
     599	073.9444347	+21.2473006	 73.25	 -34.67	18.39	10.61	40.32	20.85	 1.31	 0.26	16.866	15.652	      	      	      	      	      	      	      	      	11.777	 0.020	11.136	 0.022	10.892	 0.018	10.710	 0.023	10.563	 0.021	10.475	 0.091	 8.449	 0.310	0	XV	Sloan
     600	073.9544358	+24.3627203	 74.35	 -50.22	19.35	10.05	39.71	21.98	-0.05	 0.37	15.574	14.446	      	      	      	      	      	      	      	      	10.934	 0.021	10.355	 0.023	10.092	 0.019	 9.917	 0.023	 9.758	 0.022	 9.635	 0.041	 8.438	 0.276	0	XV	Sloan
     601	074.0255353	+21.8979856	 66.37	 -38.71	17.32	13.67	40.22	21.03	-0.05	 0.16	18.576	17.200	      	      	      	      	      	      	      	      	12.877	 0.023	12.282	 0.024	11.994	 0.023	11.786	 0.025	11.581	 0.022	11.572	 0.217	 9.061	      	0	XV	Sloan
     602	074.0695478	+21.3671928	 75.38	 -39.27	19.34	 8.73	40.33	20.82	 0.64	 0.35	15.947	14.723	      	      	      	      	      	      	      	      	11.138	 0.022	10.504	 0.021	10.247	 0.017	10.086	 0.022	 9.937	 0.020	 9.792	 0.056	 8.999	      	0	XV	Sloan
     604	074.2528178	+13.9123506	 67.15	 -23.20	17.99	11.36	41.37	18.68	-1.28	 0.78	      	      	      	      	      	      	      	      	      	      	 8.762	 0.026	 8.266	 0.024	 8.119	 0.017	 8.032	 0.023	 8.124	 0.019	 8.053	 0.020	 7.838	 0.180	0	XV	Sloan
     605	074.3270136	+21.6023442	 56.84	 -38.22	15.61	19.45	40.36	20.76	-1.42	 0.25	17.522	16.263	      	      	      	      	      	      	      	      	12.205	 0.021	11.630	 0.021	11.331	 0.018	11.148	 0.023	10.995	 0.023	10.869	 0.136	 8.987	      	0	XV	Sloan
     606	074.3648175	+13.9452128	 68.46	 -22.06	18.31	10.60	41.40	18.61	-0.83	 0.24	17.074	      	17.029	 0.005	15.836	 0.005	14.258	 0.005	13.533	 0.005	11.920	 0.023	11.340	 0.028	11.081	 0.021	10.876	 0.024	10.715	 0.020	10.372	 0.084	 8.894	      	0	XV	Sloan
     607	074.4435317	+16.4723050	 60.04	 -19.48	15.63	18.85	41.17	19.12	 0.89	 0.37	16.421	15.210	      	      	      	      	      	      	      	      	11.438	 0.026	10.848	 0.030	10.589	 0.019	10.425	 0.024	10.280	 0.021	10.031	 0.057	 8.723	      	0	XV	Sloan
     608	074.4562753	+14.0021897	 70.50	 -17.95	18.58	 9.99	41.42	18.56	 0.40	 1.02	      	      	      	      	      	      	      	      	      	      	 7.569	 0.019	 7.268	 0.055	 7.235	 0.017	 7.130	 0.032	 7.206	 0.021	 7.216	 0.017	 7.311	 0.121	0	XV	Sloan
     609	074.4907919	+14.4519867	 69.47	 -26.11	18.84	 9.33	41.39	18.62	-1.33	 0.32	16.412	      	      	      	      	      	      	      	      	      	11.304	 0.026	10.707	 0.031	10.459	 0.022	10.308	 0.023	10.134	 0.021	10.260	 0.077	 9.084	      	0	XV	Sloan
     610	074.5541478	+40.0568686	 60.64	-101.41	19.27	21.31	35.06	28.83	-3.68	 1.34	      	      	      	      	      	      	      	      	      	      	 6.168	 0.021	 5.913	 0.018	 5.862	 0.018	 5.888	 0.053	 5.725	 0.028	 5.851	 0.015	 5.836	 0.041	0	XV	Sloan
     611	074.5570811	-02.7741114	 67.90	  20.14	17.40	21.74	41.12	19.21	-1.85	 0.24	      	      	      	      	      	      	      	      	      	      	12.056	 0.022	11.440	 0.022	11.166	 0.023	10.966	 0.023	10.818	 0.019	10.606	 0.081	 9.045	      	0	XV	Sloan
     612	074.5927083	+19.3171428	 73.67	 -39.77	19.99	 7.35	40.82	19.84	-0.71	 0.15	18.186	16.935	      	      	      	      	      	      	      	      	12.677	 0.022	12.113	 0.025	11.815	 0.021	11.588	 0.024	11.414	 0.021	11.260	 0.168	 9.003	      	0	XV	Sloan
     613	074.6091617	-03.7328856	 76.30	  48.58	21.81	17.40	41.01	19.45	 2.92	 1.34	      	      	      	      	      	      	      	      	      	      	 5.982	 0.023	 5.709	 0.031	 5.627	 0.017	 5.587	 0.062	 5.475	 0.030	 5.646	 0.015	 5.546	 0.034	0	XV	Sloan
     614	074.6590067	+16.2224333	 69.99	 -26.31	18.74	 9.44	41.26	18.92	-0.08	 0.23	17.634	      	      	      	      	      	      	      	      	      	11.980	 0.024	11.320	 0.030	11.084	 0.026	10.830	 0.023	10.635	 0.022	10.717	 0.132	 8.886	      	0	XV	Sloan
     615	074.7629986	+12.2625039	 84.83	 -15.92	22.67	 7.16	41.65	18.05	 0.40	 0.20	17.160	      	17.312	 0.006	16.057	 0.004	14.343	 0.004	13.511	 0.005	11.838	 0.023	11.225	 0.023	10.948	 0.016	10.753	 0.024	10.569	 0.021	10.107	 0.056	 7.872	 0.170	0	XV	Sloan
     616	074.8211786	+06.4308928	 62.94	  -1.37	16.91	17.30	41.83	17.63	-0.91	 0.90	      	      	      	      	      	      	      	      	      	      	 8.559	 0.030	 7.947	 0.042	 7.793	 0.027	 7.700	 0.023	 7.775	 0.018	 7.724	 0.019	 7.538	 0.152	0	XV	Sloan
     617	074.8325842	+10.3860086	 74.71	  -4.02	19.90	 9.14	41.77	17.77	 1.42	 0.50	14.444	      	      	      	      	      	      	      	      	      	10.186	 0.024	 9.528	 0.030	 9.295	 0.022	 9.139	 0.023	 9.044	 0.022	 8.965	 0.034	 8.278	      	0	XV	Sloan
     618	074.9346767	+15.9167325	 85.86	 -29.77	23.08	 6.62	41.38	18.66	 0.29	 1.36	      	      	      	      	      	      	      	      	      	      	 5.856	 0.024	 5.694	 0.033	 5.645	 0.016	 5.607	 0.063	 5.512	 0.030	 5.684	 0.014	 5.652	 0.040	0	XV	Sloan
     619	074.9562867	+19.9667658	 67.46	 -25.56	17.11	14.19	40.83	19.83	 2.50	 0.89	      	      	      	      	      	      	      	      	      	      	 8.297	 0.030	 7.902	 0.024	 7.829	 0.029	 7.764	 0.024	 7.819	 0.020	 7.822	 0.021	 7.903	 0.232	0	XV	Sloan
     620	074.9940000	-03.5533894	 75.47	  44.96	21.60	17.44	41.16	19.14	 2.29	 0.53	      	      	      	      	      	      	      	      	      	      	 9.759	 0.021	 9.199	 0.026	 8.906	 0.023	 8.775	 0.024	 8.663	 0.020	 8.518	 0.023	 8.322	 0.233	0	XV	Sloan
     621	075.0137253	+15.9147686	 83.51	 -33.35	22.90	 6.55	41.40	18.61	-0.55	 0.20	17.165	15.905	      	      	      	      	      	      	      	      	11.800	 0.023	11.211	 0.031	10.926	 0.022	10.710	 0.024	10.533	 0.022	10.291	 0.064	 9.171	      	0	XV	Sloan
     622	075.0497850	+05.8554922	 69.17	   9.72	18.88	13.30	41.89	17.48	 1.50	 0.34	16.411	15.171	      	      	      	      	      	      	      	      	11.236	 0.024	10.625	 0.022	10.367	 0.021	10.183	 0.024	10.020	 0.021	 9.908	 0.050	 8.714	      	0	XV	Sloan
     623	075.2036956	+04.7331139	 73.43	  10.69	20.16	12.43	41.91	17.43	 0.76	 0.85	      	      	      	      	      	      	      	      	      	      	 8.113	 0.023	 7.692	 0.036	 7.589	 0.026	 7.509	 0.025	 7.562	 0.020	 7.541	 0.018	 7.630	 0.149	0	XV	Sloan
     673	079.3670097	+11.7907647	 53.05	  -9.49	17.30	16.31	42.93	14.73	 1.07	 0.63	13.234	      	      	      	      	      	      	      	      	      	 9.699	 0.022	 9.028	 0.031	 8.853	 0.020	 8.756	 0.023	 8.779	 0.020	 8.673	 0.027	 9.001	 0.541	0	XV	Sloan
     624	075.2300636	+18.8073864	 78.58	 -45.02	22.21	 6.52	41.09	19.29	-1.25	 0.19	17.943	16.724	      	      	      	      	      	      	      	      	12.053	 0.022	11.420	 0.020	11.118	 0.019	10.911	 0.023	10.715	 0.020	10.252	 0.064	 8.390	 0.252	0	XV	Sloan
     625	075.3166789	+16.1446678	 51.18	 -19.78	14.08	25.91	41.46	18.47	-0.08	 0.23	18.037	16.737	      	      	      	      	      	      	      	      	12.567	 0.021	12.000	 0.023	11.708	 0.018	11.528	 0.023	11.351	 0.021	11.651	 0.253	 8.700	      	0	XV	Sloan
     626	075.3423764	+29.9298878	 64.71	 -50.40	16.33	20.52	38.71	23.71	 2.26	 0.90	      	      	      	      	      	      	      	      	      	      	 8.470	 0.023	 7.984	 0.018	 7.874	 0.017	 7.749	 0.024	 7.835	 0.021	 7.800	 0.018	 7.653	 0.147	0	XV	Sloan
     627	075.3957336	+07.9452183	 52.87	   5.55	14.50	25.50	42.00	17.21	 2.42	 0.19	18.491	      	      	      	      	      	      	      	      	      	12.836	 0.024	12.265	 0.030	11.996	 0.021	11.700	 0.024	11.502	 0.022	11.434	 0.174	 9.141	      	0	XV	Sloan
     628	075.4001542	+13.9330064	 87.30	 -19.97	23.67	 7.70	41.71	17.90	 1.02	 0.68	12.004	      	      	      	      	      	      	      	      	      	 8.754	 0.021	 8.104	 0.017	 7.918	 0.020	 7.824	 0.025	 7.892	 0.021	 7.767	 0.020	 7.291	 0.104	0	XV	Sloan
     629	075.4069394	+12.4163886	 70.98	 -15.12	19.52	 9.16	41.83	17.62	 0.21	 0.80	12.234	      	      	      	      	      	      	      	      	      	 8.720	 0.021	 8.113	 0.029	 7.869	 0.024	 7.735	 0.024	 7.722	 0.019	 7.656	 0.017	 7.358	 0.125	0	XV	Sloan
     630	075.7015944	+13.6327056	 61.02	 -15.66	16.93	15.09	41.82	17.64	 0.41	 0.17	18.648	      	18.652	 0.009	17.351	 0.006	15.458	 0.005	14.535	 0.005	12.766	 0.021	12.176	 0.021	11.876	 0.019	11.677	 0.023	11.493	 0.023	10.914	 0.113	 8.807	 0.430	0	XV	Sloan
     632	075.7739469	+21.5899619	 68.88	 -41.05	19.06	10.22	40.78	19.94	 0.39	 2.27	      	      	      	      	      	      	      	      	      	      	 4.333	 0.320	 4.375	 0.208	 4.245	 0.021	 4.225	 0.088	 3.681	 0.055	 4.242	 0.016	 4.045	 0.023	0	XV	Sloan
     633	075.7763181	+19.6787872	 60.05	 -36.81	17.32	13.86	41.11	19.25	-1.03	 0.18	18.160	16.847	      	      	      	      	      	      	      	      	12.662	 0.023	12.049	 0.022	11.754	 0.020	11.559	 0.023	11.375	 0.020	10.728	 0.095	 8.470	      	0	XV	Sloan
     634	075.7795906	+19.0179944	 81.25	 -31.05	21.54	 6.93	41.21	19.02	 2.09	 0.62	12.423	      	      	      	      	      	      	      	      	      	 9.225	 0.022	 8.575	 0.020	 8.408	 0.017	 8.319	 0.023	 8.367	 0.019	 8.333	 0.024	 8.648	 0.448	0	XV	Sloan
     635	075.7819081	+13.7306706	 66.48	 -17.88	18.54	10.86	41.84	17.60	 0.30	 1.00	      	      	      	      	      	      	      	      	      	      	 7.629	 0.032	 7.303	 0.018	 7.226	 0.027	 7.199	 0.029	 7.243	 0.023	 7.230	 0.017	 7.135	 0.103	0	XV	Sloan
     636	075.8295003	+03.8403311	 77.77	  20.59	22.21	12.36	42.06	17.05	 2.02	 0.16	17.936	16.570	      	      	      	      	      	      	      	      	12.279	 0.024	11.691	 0.026	11.423	 0.021	11.200	 0.024	11.021	 0.022	10.855	 0.108	 9.028	      	0	XV	Sloan
     637	075.8861614	+18.1478978	 67.92	 -33.41	19.21	 9.26	41.37	18.68	-0.19	 0.18	18.165	16.838	      	      	      	      	      	      	      	      	12.434	 0.021	11.858	 0.022	11.547	 0.020	11.345	 0.022	11.143	 0.022	10.467	 0.097	 8.848	 0.477	0	XV	Sloan
     638	075.9288542	+17.1537314	 50.28	 -24.94	14.48	24.21	41.51	18.35	-0.88	 0.59	14.109	      	      	      	      	      	      	      	      	      	10.342	 0.026	 9.704	 0.024	 9.490	 0.020	 9.348	 0.023	 9.341	 0.020	 9.275	 0.035	 8.813	 0.453	0	XV	Sloan
     639	076.0470514	+36.2601242	 81.35	-119.71	25.79	17.26	36.84	26.51	-2.28	 0.15	17.303	16.087	      	      	      	      	      	      	      	      	12.111	 0.020	11.493	 0.023	11.215	 0.020	11.028	 0.024	10.897	 0.020	10.780	 0.094	 8.522	      	0	XV	Sloan
     640	076.4182408	+06.4651756	 69.92	   3.68	20.16	11.90	42.30	16.46	 0.42	 0.87	      	      	      	      	      	      	      	      	      	      	 8.127	 0.027	 7.631	 0.031	 7.518	 0.021	 7.378	 0.023	 7.451	 0.020	 7.411	 0.015	 7.129	 0.093	0	XV	Sloan
     641	076.5749525	+17.8164131	 63.50	 -32.44	18.62	10.82	41.60	18.15	-0.40	 1.03	      	      	      	      	      	      	      	      	      	      	 7.514	 0.018	 7.216	 0.046	 7.128	 0.017	 7.061	 0.027	 7.111	 0.018	 7.109	 0.019	 6.984	 0.087	0	XV	Sloan
     642	076.7918517	+13.2697864	 66.12	 -22.31	19.65	 9.59	42.16	16.82	-0.82	 0.25	17.139	15.832	      	      	      	      	      	      	      	      	11.756	 0.027	11.130	 0.030	10.839	 0.019	10.646	 0.023	10.472	 0.021	10.219	 0.060	 8.807	 0.389	0	XV	Sloan
     643	076.8956631	+14.6539256	 67.10	 -27.57	20.13	 8.73	42.06	17.05	-0.93	 0.46	15.155	13.976	      	      	      	      	      	      	      	      	10.416	 0.032	 9.800	 0.036	 9.524	 0.023	 9.314	 0.023	 9.183	 0.021	 9.031	 0.030	 8.810	 0.432	0	XV	Sloan
     644	076.8970525	+18.6927244	 53.39	 -26.90	15.54	20.19	41.56	18.24	 0.40	 0.75	      	      	      	      	      	      	      	      	      	      	 9.276	 0.022	 8.696	 0.023	 8.565	 0.017	 8.509	 0.023	 8.580	 0.020	 8.501	 0.023	 8.214	 0.243	0	XV	Sloan
     645	077.0555667	+21.9902458	 48.47	 -39.77	15.28	21.72	41.04	19.38	-1.68	 0.64	13.389	12.390	      	      	      	      	      	      	      	      	 9.908	 0.024	 9.234	 0.023	 9.037	 0.017	 8.877	 0.023	 8.903	 0.019	 8.778	 0.028	 8.464	 0.341	0	XV	Sloan
     646	077.2626681	+12.9641844	 74.88	 -20.15	22.37	 8.49	42.31	16.43	 0.13	 0.93	      	      	      	      	      	      	      	      	      	      	 7.640	 0.024	 7.181	 0.040	 7.084	 0.018	 7.025	 0.033	 7.072	 0.021	 7.064	 0.016	 7.238	 0.120	0	XV	Sloan
     647	077.3157869	+19.5724986	 45.41	 -26.29	13.59	29.12	41.54	18.30	 0.08	 0.53	15.030	      	      	      	      	      	      	      	      	      	10.797	 0.022	10.180	 0.022	 9.943	 0.017	 9.788	 0.023	 9.713	 0.022	 9.650	 0.043	 8.453	      	0	XV	Sloan
     648	077.3318461	+09.8295789	 65.43	  -7.69	19.62	11.24	42.51	15.92	 0.22	 1.91	      	      	      	      	      	      	      	      	      	      	 4.965	 0.026	 4.929	 0.023	 4.861	 0.023	 4.882	 0.076	 4.651	 0.045	 4.933	 0.013	 4.909	 0.029	0	XV	Sloan
     649	077.4183036	+08.2140356	 54.60	  -5.89	16.51	18.70	42.57	15.74	-0.81	 0.51	15.634	14.436	      	      	      	      	      	      	      	      	10.526	 0.024	 9.929	 0.026	 9.653	 0.020	 9.478	 0.023	 9.319	 0.019	 9.088	 0.031	 8.333	 0.289	0	XV	Sloan
     650	077.4378833	+28.0304653	 55.50	 -58.91	17.50	17.10	39.76	21.90	-0.96	 1.77	      	      	      	      	      	      	      	      	      	      	 5.545	 0.019	 5.484	 0.020	 5.427	 0.016	 5.157	 0.081	 4.349	 0.021	 5.257	 0.015	 5.325	 0.033	0	XV	Sloan
     651	077.4394697	+28.0336228	 57.24	 -58.90	17.77	16.49	39.76	21.90	-0.62	 1.09	      	      	      	      	      	      	      	      	      	      	 7.366	 0.020	 7.037	 0.020	 6.953	 0.017	 7.401	 0.058	 7.561	 0.053	 7.283	 0.032	 7.213	 0.112	0	XV	Sloan
     652	077.5616994	-14.6327039	 60.89	  61.48	18.51	29.44	39.61	22.16	 0.03	 0.18	      	      	      	      	      	      	      	      	      	      	12.577	 0.022	11.986	 0.023	11.632	 0.022	11.439	 0.023	11.251	 0.021	10.803	 0.079	 8.805	      	0	XV	Sloan
     653	077.6018286	+10.4179986	 54.96	  -7.05	16.63	17.66	42.55	15.79	 0.53	 0.68	12.418	      	      	      	      	      	      	      	      	      	 9.492	 0.027	 8.847	 0.029	 8.683	 0.021	 8.613	 0.023	 8.698	 0.020	 8.597	 0.026	 7.769	 0.164	0	XV	Sloan
     654	077.6163908	+01.1522206	 45.42	  19.69	14.38	29.65	42.41	16.17	 2.22	 0.44	16.027	14.815	      	      	      	      	      	      	      	      	11.181	 0.024	10.642	 0.029	10.326	 0.025	10.130	 0.024	 9.981	 0.021	 9.930	 0.046	 8.806	      	0	XV	Sloan
     655	077.6264639	-03.8801036	 55.99	  19.28	15.84	27.37	41.87	17.53	-2.58	 0.17	18.606	17.271	      	      	      	      	      	      	      	      	12.891	 0.022	12.297	 0.025	11.989	 0.026	11.848	 0.024	11.644	 0.023	12.360	 0.371	 9.241	      	0	XV	Sloan
